answer,d1,d2,d3,d4
dark,black,sad,grey,cold
clean,fresh,neat,pure,bright
easy,soft,slow,kind,safe
rich,full,strong,golden,fat
wrong,bad,strange,lost,weak
early,first,fast,quick,new
cheap,poor,simple,weak,plain
strong,big,hard,tall,fast
quiet,calm,shy,gentle,timid
brave,bold,proud,calm,wild
empty,blank,bare,vacant,hollow
hungry,tired,thirsty,angry,greedy
famous,popular,great,proud,chief
important,serious,heavy,strong,official
ancient,elderly,historic,aged,past
generous,greedy,wealthy,gentle,careful
patient,calm,slow,gentle,mild
difficult,complex,heavy,serious,strange
dangerous,wild,angry,cruel,bad
private,personal,secret,hidden,alone
polite,gentle,formal,careful,decent
brief,little,small,fast,light
curious,strange,odd,unusual,clever
reluctant,hesitant,slow,cautious,careful
urgent,sudden,serious,quick,grave
confident,bold,proud,calm,certain
similar,alike,equal,close,common
meek,mild,gentle,modest,calm
obvious,clear,simple,direct,common
frequent,common,usual,daily,steady
skeptical,doubtful,suspicious,critical,wary
meticulous,thorough,precise,tidy,strict
diligent,busy,steady,active,quick
deliberate,planned,thoughtful,willful,slow
redundant,spare,extra,idle,useless
adequate,suitable,useful,proper,fair
crucial,vital,urgent,central,final
prudent,cautious,sensible,rational,sober
pragmatic,practical,realistic,sensible,flexible
blunt,frank,direct,gruff,rude
perfunctory,cursory,hasty,rushed,indifferent
ubiquitous,prevalent,pervasive,widespread,universal
esoteric,obscure,arcane,abstruse,cryptic
tenacious,persistent,resolute,unyielding,pertinacious
equivocate,mislead,quibble,retract,digress
ameliorate,mend,soften,relieve,placate
extol,commend,applaud,exalt,flatter
disparage,criticize,condemn,mock,scold
cogent,lucid,coherent,succinct,plausible
inept,clumsy,awkward,unfit,foolish
elucidate,illustrate,refine,annotate,gloss
disparate,distinct,various,divergent,dissimilar
anecdotal,informal,hearsay,random,unverified
capricious,moody,impulsive,erratic,unstable
ineluctable,fated,inexorable,fateful,predestined
inchoate,undeveloped,rudimentary,imperfect,unpromising
obstinate,stubborn,intransigent,obdurate,pertinacious
gregarious,sociable,affable,convivial,genial
ephemeral,fleeting,momentary,transient,evanescent
laconic,terse,taciturn,curt,reticent
nugatory,trifling,paltry,frivolous,negligible
supercilious,haughty,arrogant,aloof,detached
placate,appease,pacify,soothe,mollify
lambent,limpid,pellucid,lucid,refulgent
